MATNR,YE49_plus_7
G23334,"44,50"
G13080,"63,93"
G27226001,"50,72"
ID974981,"179,63"
ID796924,"33,94"
ID1022007,"94,97"
ID1004731,"6,61"
ID952596,"188,50"
ID1021991,"113,46"
ID733023,"99,45"
G07800,"96,71"
G46108,"74,43"
ID726601,"40,98"
ID974979,"225,16"
G13245,"783,06"
G36321,"101,67"
G31203,"264,23"
ID927571,"272,54"
ID931709,"55,51"
ID1028871,"103,48"
G29079,"80,84"
G30036,"44,33"
ID1002032,"19,89"
ID737792,"141,54"
G19388,"400,02"
G47189,"24,87"
G28393,"131,12"
ID936565,"63,78"
G27074MW,"26,86"
ID1015607,"902,38"
ID97928,"6,63"
G43810,"47,23"
G43536,"3,84"
G28765,"61,80"
G28347,"288,61"
G46184,"2,56"
G06804,"100"
G08500,"9,68"
G36194,"106,99"
G34020,"384,45"
G33865,"118,32"
G20186,"36,81"
G36332,"334,12"
G13928,"6,59"
FG32269,"85,35"
G13220,"8,46"
G42941P,"9,06"
G32762,"87,28"
G19932CG,"200,52"
G23316CG,"266,98"
G32553,"200,30"
G19448,"202,93"
G22951,"69,11"
G32109,"137,58"
G26317,"55,65"
G19459,"236,20"
G27273001,"114,03"
FG32883,"60,10"
G36015001,"274,97"
ID777547,"162,15"
G23055002,"161,27"
G19898,"99,14"
G27698,"31,08"
G23138,"152,48"
G40508,"38,73"
G47045,"22,71"
ID1001099,"9,36"
ID630217,"0,01"
ID647306,"52,48"
G40564,"130,33"
G28622,"10,41"
ID796919,"22,75"
ID796711,"138,73"
ID796781,"510,67"
G38925,"36,60"
ID796853,"171,19"
ID1001091,"8,67"
G07000,"38,52"
ID1015834,"4,90"
G02696P,"9,17"
G32511,"261,07"
G47032,"161,30"
G31179,"120,40"
G14066,"97,03"
G13216,"675,79"
ID1022024,"201,03"
ID1028833,"886,73"
G38584001,"235,73"
ID936547,"102,86"
G01224P,"5,03"
G47567,"36,18"
G19384,"68,63"
G38595MC,"38,72"
ID936971,"59,09"
G42774,"32,27"
G43540,"3,69"
G27755,"109,53"
G27193,"790,91"
G19548002,"111,27"
G19968,"106,02"
ID968365,"99,91"
G47457CMC,"25,28"
G45052,"3,50"
ID1002051,"24,87"
G23313CG,"304,48"
G37039,"17,95"
G27741,"79,59"
ID1028881,"123,21"
ID1021947,"67,27"
G40494,"212,60"
G32184,"241,21"
G19380,"239,22"
G46807,"55,33"
ID647486,"25,15"
ID1004709,"233,36"
ID1002075,"30,17"
ID1002134,"2,63"
ID1002083,"12,36"
ID1028725,"21,30"
ID952583,"2152,48"
ID981473,"34,74"
ID1004773,"828,21"
ID1004781,"705,50"
ID1002070,"15,07"
ID1028739,"45,52"
G46386,"49,48"
G11514,"32,26"
G19568,"216,65"
G19781,"349,61"
G19918,"212,57"
G19937,"227,05"
G23327,"69,02"
G26010,"31,39"
G28308,"135,54"
G28361,"41,80"
G28406,"36,40"
G28429,"20,30"
G31379,"329,72"
G32222001,"1153,07"
G32652,"300,51"
G32917SST,"201,91"
G36269,"150,62"
G38845CVSA,"115,37"
G40381,"130,32"
G41073,"12,99"
G43089,"25,88"
ID1001977,"50,75"
ID1004691,"224,63"
ID981479,"34,74"
ID936577,"571,75"
ID796801,"215,81"
ID796808,"215,81"
ID754518,"53,15"
ID737885,"72,69"
ID952597,"133,57"
FG27505,"7,79"
ID1002059,"24,70"
ID981481,"43,75"
ID767198,"40,37"
ID777544,"116,26"
ID979972,"71,47"
G07148,"7,14"
G07182,"11,06"
G47442CMC,"22,38"
G47455,"19,89"
G27056,"12,71"
G27068,"124,91"
G27667,"79,42"
G27788,"40,92"
